persona_id,name,status,tp,fp,fn,precision,recall,hallucination_rate,num_statements,num_facts
P001,María Elena García,ok,14,5,22,0.7368421052631579,0.3888888888888889,0.2631578947368421,19,53
P002,Abdulrahman Al-Sayed,ok,11,4,26,0.7333333333333333,0.2972972972972973,0.26666666666666666,15,49
P003,Asha Nair,ok,14,2,31,0.875,0.3111111111111111,0.125,16,60
P004,Kenji Watanabe,ok,10,8,29,0.5555555555555556,0.2564102564102564,0.4444444444444444,18,51
P005,Zanele Dlamini,ok,14,3,15,0.8235294117647058,0.4827586206896552,0.17647058823529413,17,53
P006,Helena Kowalska,ok,18,2,26,0.9,0.4090909090909091,0.1,20,58
P007,Samuel Adeyemi,ok,13,4,25,0.7647058823529411,0.34210526315789475,0.23529411764705882,17,50
P008,Linh Trần,ok,7,7,34,0.5,0.17073170731707318,0.5,14,47
P009,Evelyn Thompson,ok,16,1,13,0.9411764705882353,0.5517241379310345,0.058823529411764705,17,54
P010,Hassan El-Masri,ok,10,1,29,0.9090909090909091,0.2564102564102564,0.09090909090909091,11,48
P011,Nina Petrova,ok,17,4,22,0.8095238095238095,0.4358974358974359,0.19047619047619047,21,54
P012,Moses Kiplagat,ok,12,7,23,0.631578947368421,0.34285714285714286,0.3684210526315789,19,51
P013,Farah Rahimi,ok,6,7,43,0.46153846153846156,0.12244897959183673,0.5384615384615384,13,52
P014,George Papadopoulos,ok,17,5,16,0.7727272727272727,0.5151515151515151,0.22727272727272727,22,53
P015,Mei Ling Chan,ok,10,3,32,0.7692307692307693,0.23809523809523808,0.23076923076923078,13,51
P016,Patrick O'Rourke,ok,13,6,28,0.6842105263157895,0.3170731707317073,0.3157894736842105,19,57
P017,Sofía Ionescu,ok,7,10,45,0.4117647058823529,0.1346153846153846,0.5882352941176471,17,62
P018,Tane Mahuta,ok,16,7,31,0.6956521739130435,0.3404255319148936,0.30434782608695654,23,60
P019,Amina Yusuf,ok,13,5,25,0.7222222222222222,0.34210526315789475,0.2777777777777778,18,53
P020,Jean-Luc Moreau,ok,14,5,39,0.7368421052631579,0.2641509433962264,0.2631578947368421,19,70
